id,name,description,unitOfMeasurement,observationType,observedArea,phenomenonTime,resultTime,thing_id,sensor_id,observedproperty_id
27,CO2 Sensor_27,A datastream that provides the measurements from aCO2 Sensor_27 sensor,"{""name"": ""degree Celsius"",""symbol"": ""degC"",""definition"": ""http://www.qudt.org/qudt/owl/1.0.0/unit/Instances.html#DegreeCelsius""}",http://www.opengis.net/def/observationType/OGC-OM/2.0/OM_Measurement,0103000020E61000000100000005000000BA490C022B7F52C0355EBA490C624440BA490C022B7F52C0FCA9F1D24D624440F4FDD478E97E52C0FCA9F1D24D624440F4FDD478E97E52C0355EBA490C624440BA490C022B7F52C0355EBA490C624440,"[2023-03-25 14:00:00+00,2023-03-25 15:00:00+00)","[2023-03-25 14:00:00+00,2023-03-25 15:00:00+00)",27,27,27
28,Light Sensor_28,A datastream that provides the measurements from aLight Sensor_28 sensor,"{""name"": ""degree Celsius"",""symbol"": ""degC"",""definition"": ""http://www.qudt.org/qudt/owl/1.0.0/unit/Instances.html#DegreeCelsius""}",http://www.opengis.net/def/observationType/OGC-OM/2.0/OM_Measurement,0103000020E61000000100000005000000BA490C022B7F52C0355EBA490C624440BA490C022B7F52C0FCA9F1D24D624440F4FDD478E97E52C0FCA9F1D24D624440F4FDD478E97E52C0355EBA490C624440BA490C022B7F52C0355EBA490C624440,"[2023-03-25 14:00:00+00,2023-03-25 15:00:00+00)","[2023-03-25 14:00:00+00,2023-03-25 15:00:00+00)",28,28,28
29,Temperature Sensor_29,A datastream that provides the measurements from aTemperature Sensor_29 sensor,"{""name"": ""degree Celsius"",""symbol"": ""degC"",""definition"": ""http://www.qudt.org/qudt/owl/1.0.0/unit/Instances.html#DegreeCelsius""}",http://www.opengis.net/def/observationType/OGC-OM/2.0/OM_Measurement,0103000020E61000000100000005000000BA490C022B7F52C0355EBA490C624440BA490C022B7F52C0FCA9F1D24D624440F4FDD478E97E52C0FCA9F1D24D624440F4FDD478E97E52C0355EBA490C624440BA490C022B7F52C0355EBA490C624440,"[2023-03-25 14:00:00+00,2023-03-25 15:00:00+00)","[2023-03-25 14:00:00+00,2023-03-25 15:00:00+00)",29,29,29
30,Light Sensor_30,A datastream that provides the measurements from aLight Sensor_30 sensor,"{""name"": ""degree Celsius"",""symbol"": ""degC"",""definition"": ""http://www.qudt.org/qudt/owl/1.0.0/unit/Instances.html#DegreeCelsius""}",http://www.opengis.net/def/observationType/OGC-OM/2.0/OM_Measurement,0103000020E61000000100000005000000BA490C022B7F52C0355EBA490C624440BA490C022B7F52C0FCA9F1D24D624440F4FDD478E97E52C0FCA9F1D24D624440F4FDD478E97E52C0355EBA490C624440BA490C022B7F52C0355EBA490C624440,"[2023-03-25 14:00:00+00,2023-03-25 15:00:00+00)","[2023-03-25 14:00:00+00,2023-03-25 15:00:00+00)",30,30,30
31,CO2 Sensor_31,A datastream that provides the measurements from aCO2 Sensor_31 sensor,"{""name"": ""degree Celsius"",""symbol"": ""degC"",""definition"": ""http://www.qudt.org/qudt/owl/1.0.0/unit/Instances.html#DegreeCelsius""}",http://www.opengis.net/def/observationType/OGC-OM/2.0/OM_Measurement,0103000020E61000000100000005000000BA490C022B7F52C0355EBA490C624440BA490C022B7F52C0FCA9F1D24D624440F4FDD478E97E52C0FCA9F1D24D624440F4FDD478E97E52C0355EBA490C624440BA490C022B7F52C0355EBA490C624440,"[2023-03-25 14:00:00+00,2023-03-25 15:00:00+00)","[2023-03-25 14:00:00+00,2023-03-25 15:00:00+00)",31,31,31
32,Temperature Sensor_32,A datastream that provides the measurements from aTemperature Sensor_32 sensor,"{""name"": ""degree Celsius"",""symbol"": ""degC"",""definition"": ""http://www.qudt.org/qudt/owl/1.0.0/unit/Instances.html#DegreeCelsius""}",http://www.opengis.net/def/observationType/OGC-OM/2.0/OM_Measurement,0103000020E61000000100000005000000BA490C022B7F52C0355EBA490C624440BA490C022B7F52C0FCA9F1D24D624440F4FDD478E97E52C0FCA9F1D24D624440F4FDD478E97E52C0355EBA490C624440BA490C022B7F52C0355EBA490C624440,"[2023-03-25 14:00:00+00,2023-03-25 15:00:00+00)","[2023-03-25 14:00:00+00,2023-03-25 15:00:00+00)",32,32,32
33,Humidity Sensor_33,A datastream that provides the measurements from aHumidity Sensor_33 sensor,"{""name"": ""degree Celsius"",""symbol"": ""degC"",""definition"": ""http://www.qudt.org/qudt/owl/1.0.0/unit/Instances.html#DegreeCelsius""}",http://www.opengis.net/def/observationType/OGC-OM/2.0/OM_Measurement,0103000020E61000000100000005000000BA490C022B7F52C0355EBA490C624440BA490C022B7F52C0FCA9F1D24D624440F4FDD478E97E52C0FCA9F1D24D624440F4FDD478E97E52C0355EBA490C624440BA490C022B7F52C0355EBA490C624440,"[2023-03-25 14:00:00+00,2023-03-25 15:00:00+00)","[2023-03-25 14:00:00+00,2023-03-25 15:00:00+00)",33,33,33
34,Temperature Sensor_34,A datastream that provides the measurements from aTemperature Sensor_34 sensor,"{""name"": ""degree Celsius"",""symbol"": ""degC"",""definition"": ""http://www.qudt.org/qudt/owl/1.0.0/unit/Instances.html#DegreeCelsius""}",http://www.opengis.net/def/observationType/OGC-OM/2.0/OM_Measurement,0103000020E61000000100000005000000BA490C022B7F52C0355EBA490C624440BA490C022B7F52C0FCA9F1D24D624440F4FDD478E97E52C0FCA9F1D24D624440F4FDD478E97E52C0355EBA490C624440BA490C022B7F52C0355EBA490C624440,"[2023-03-25 14:00:00+00,2023-03-25 15:00:00+00)","[2023-03-25 14:00:00+00,2023-03-25 15:00:00+00)",34,34,34
35,Motion Sensor_35,A datastream that provides the measurements from aMotion Sensor_35 sensor,"{""name"": ""degree Celsius"",""symbol"": ""degC"",""definition"": ""http://www.qudt.org/qudt/owl/1.0.0/unit/Instances.html#DegreeCelsius""}",http://www.opengis.net/def/observationType/OGC-OM/2.0/OM_Measurement,0103000020E61000000100000005000000BA490C022B7F52C0355EBA490C624440BA490C022B7F52C0FCA9F1D24D624440F4FDD478E97E52C0FCA9F1D24D624440F4FDD478E97E52C0355EBA490C624440BA490C022B7F52C0355EBA490C624440,"[2023-03-25 14:00:00+00,2023-03-25 15:00:00+00)","[2023-03-25 14:00:00+00,2023-03-25 15:00:00+00)",35,35,35
36,Motion Sensor_36,A datastream that provides the measurements from aMotion Sensor_36 sensor,"{""name"": ""degree Celsius"",""symbol"": ""degC"",""definition"": ""http://www.qudt.org/qudt/owl/1.0.0/unit/Instances.html#DegreeCelsius""}",http://www.opengis.net/def/observationType/OGC-OM/2.0/OM_Measurement,0103000020E61000000100000005000000BA490C022B7F52C0355EBA490C624440BA490C022B7F52C0FCA9F1D24D624440F4FDD478E97E52C0FCA9F1D24D624440F4FDD478E97E52C0355EBA490C624440BA490C022B7F52C0355EBA490C624440,"[2023-03-25 14:00:00+00,2023-03-25 15:00:00+00)","[2023-03-25 14:00:00+00,2023-03-25 15:00:00+00)",36,36,36
37,CO2 Sensor_37,A datastream that provides the measurements from aCO2 Sensor_37 sensor,"{""name"": ""degree Celsius"",""symbol"": ""degC"",""definition"": ""http://www.qudt.org/qudt/owl/1.0.0/unit/Instances.html#DegreeCelsius""}",http://www.opengis.net/def/observationType/OGC-OM/2.0/OM_Measurement,0103000020E61000000100000005000000BA490C022B7F52C0355EBA490C624440BA490C022B7F52C0FCA9F1D24D624440F4FDD478E97E52C0FCA9F1D24D624440F4FDD478E97E52C0355EBA490C624440BA490C022B7F52C0355EBA490C624440,"[2023-03-25 14:00:00+00,2023-03-25 15:00:00+00)","[2023-03-25 14:00:00+00,2023-03-25 15:00:00+00)",37,37,37
38,Motion Sensor_38,A datastream that provides the measurements from aMotion Sensor_38 sensor,"{""name"": ""degree Celsius"",""symbol"": ""degC"",""definition"": ""http://www.qudt.org/qudt/owl/1.0.0/unit/Instances.html#DegreeCelsius""}",http://www.opengis.net/def/observationType/OGC-OM/2.0/OM_Measurement,0103000020E61000000100000005000000BA490C022B7F52C0355EBA490C624440BA490C022B7F52C0FCA9F1D24D624440F4FDD478E97E52C0FCA9F1D24D624440F4FDD478E97E52C0355EBA490C624440BA490C022B7F52C0355EBA490C624440,"[2023-03-25 14:00:00+00,2023-03-25 15:00:00+00)","[2023-03-25 14:00:00+00,2023-03-25 15:00:00+00)",38,38,38
39,Humidity Sensor_39,A datastream that provides the measurements from aHumidity Sensor_39 sensor,"{""name"": ""degree Celsius"",""symbol"": ""degC"",""definition"": ""http://www.qudt.org/qudt/owl/1.0.0/unit/Instances.html#DegreeCelsius""}",http://www.opengis.net/def/observationType/OGC-OM/2.0/OM_Measurement,0103000020E61000000100000005000000BA490C022B7F52C0355EBA490C624440BA490C022B7F52C0FCA9F1D24D624440F4FDD478E97E52C0FCA9F1D24D624440F4FDD478E97E52C0355EBA490C624440BA490C022B7F52C0355EBA490C624440,"[2023-03-25 14:00:00+00,2023-03-25 15:00:00+00)","[2023-03-25 14:00:00+00,2023-03-25 15:00:00+00)",39,39,39
40,Temperature Sensor_40,A datastream that provides the measurements from aTemperature Sensor_40 sensor,"{""name"": ""degree Celsius"",""symbol"": ""degC"",""definition"": ""http://www.qudt.org/qudt/owl/1.0.0/unit/Instances.html#DegreeCelsius""}",http://www.opengis.net/def/observationType/OGC-OM/2.0/OM_Measurement,0103000020E61000000100000005000000BA490C022B7F52C0355EBA490C624440BA490C022B7F52C0FCA9F1D24D624440F4FDD478E97E52C0FCA9F1D24D624440F4FDD478E97E52C0355EBA490C624440BA490C022B7F52C0355EBA490C624440,"[2023-03-25 14:00:00+00,2023-03-25 15:00:00+00)","[2023-03-25 14:00:00+00,2023-03-25 15:00:00+00)",40,40,40
41,Light Sensor_41,A datastream that provides the measurements from aLight Sensor_41 sensor,"{""name"": ""degree Celsius"",""symbol"": ""degC"",""definition"": ""http://www.qudt.org/qudt/owl/1.0.0/unit/Instances.html#DegreeCelsius""}",http://www.opengis.net/def/observationType/OGC-OM/2.0/OM_Measurement,0103000020E61000000100000005000000BA490C022B7F52C0355EBA490C624440BA490C022B7F52C0FCA9F1D24D624440F4FDD478E97E52C0FCA9F1D24D624440F4FDD478E97E52C0355EBA490C624440BA490C022B7F52C0355EBA490C624440,"[2023-03-25 14:00:00+00,2023-03-25 15:00:00+00)","[2023-03-25 14:00:00+00,2023-03-25 15:00:00+00)",41,41,41
42,Pressure Sensor_42,A datastream that provides the measurements from aPressure Sensor_42 sensor,"{""name"": ""degree Celsius"",""symbol"": ""degC"",""definition"": ""http://www.qudt.org/qudt/owl/1.0.0/unit/Instances.html#DegreeCelsius""}",http://www.opengis.net/def/observationType/OGC-OM/2.0/OM_Measurement,0103000020E61000000100000005000000BA490C022B7F52C0355EBA490C624440BA490C022B7F52C0FCA9F1D24D624440F4FDD478E97E52C0FCA9F1D24D624440F4FDD478E97E52C0355EBA490C624440BA490C022B7F52C0355EBA490C624440,"[2023-03-25 14:00:00+00,2023-03-25 15:00:00+00)","[2023-03-25 14:00:00+00,2023-03-25 15:00:00+00)",42,42,42
43,Pressure Sensor_43,A datastream that provides the measurements from aPressure Sensor_43 sensor,"{""name"": ""degree Celsius"",""symbol"": ""degC"",""definition"": ""http://www.qudt.org/qudt/owl/1.0.0/unit/Instances.html#DegreeCelsius""}",http://www.opengis.net/def/observationType/OGC-OM/2.0/OM_Measurement,0103000020E61000000100000005000000BA490C022B7F52C0355EBA490C624440BA490C022B7F52C0FCA9F1D24D624440F4FDD478E97E52C0FCA9F1D24D624440F4FDD478E97E52C0355EBA490C624440BA490C022B7F52C0355EBA490C624440,"[2023-03-25 14:00:00+00,2023-03-25 15:00:00+00)","[2023-03-25 14:00:00+00,2023-03-25 15:00:00+00)",43,43,43
44,Humidity Sensor_44,A datastream that provides the measurements from aHumidity Sensor_44 sensor,"{""name"": ""degree Celsius"",""symbol"": ""degC"",""definition"": ""http://www.qudt.org/qudt/owl/1.0.0/unit/Instances.html#DegreeCelsius""}",http://www.opengis.net/def/observationType/OGC-OM/2.0/OM_Measurement,0103000020E61000000100000005000000BA490C022B7F52C0355EBA490C624440BA490C022B7F52C0FCA9F1D24D624440F4FDD478E97E52C0FCA9F1D24D624440F4FDD478E97E52C0355EBA490C624440BA490C022B7F52C0355EBA490C624440,"[2023-03-25 14:00:00+00,2023-03-25 15:00:00+00)","[2023-03-25 14:00:00+00,2023-03-25 15:00:00+00)",44,44,44
45,CO2 Sensor_45,A datastream that provides the measurements from aCO2 Sensor_45 sensor,"{""name"": ""degree Celsius"",""symbol"": ""degC"",""definition"": ""http://www.qudt.org/qudt/owl/1.0.0/unit/Instances.html#DegreeCelsius""}",http://www.opengis.net/def/observationType/OGC-OM/2.0/OM_Measurement,0103000020E61000000100000005000000BA490C022B7F52C0355EBA490C624440BA490C022B7F52C0FCA9F1D24D624440F4FDD478E97E52C0FCA9F1D24D624440F4FDD478E97E52C0355EBA490C624440BA490C022B7F52C0355EBA490C624440,"[2023-03-25 14:00:00+00,2023-03-25 15:00:00+00)","[2023-03-25 14:00:00+00,2023-03-25 15:00:00+00)",45,45,45
46,Temperature Sensor_46,A datastream that provides the measurements from aTemperature Sensor_46 sensor,"{""name"": ""degree Celsius"",""symbol"": ""degC"",""definition"": ""http://www.qudt.org/qudt/owl/1.0.0/unit/Instances.html#DegreeCelsius""}",http://www.opengis.net/def/observationType/OGC-OM/2.0/OM_Measurement,0103000020E61000000100000005000000BA490C022B7F52C0355EBA490C624440BA490C022B7F52C0FCA9F1D24D624440F4FDD478E97E52C0FCA9F1D24D624440F4FDD478E97E52C0355EBA490C624440BA490C022B7F52C0355EBA490C624440,"[2023-03-25 14:00:00+00,2023-03-25 15:00:00+00)","[2023-03-25 14:00:00+00,2023-03-25 15:00:00+00)",46,46,46
47,Pressure Sensor_47,A datastream that provides the measurements from aPressure Sensor_47 sensor,"{""name"": ""degree Celsius"",""symbol"": ""degC"",""definition"": ""http://www.qudt.org/qudt/owl/1.0.0/unit/Instances.html#DegreeCelsius""}",http://www.opengis.net/def/observationType/OGC-OM/2.0/OM_Measurement,0103000020E61000000100000005000000BA490C022B7F52C0355EBA490C624440BA490C022B7F52C0FCA9F1D24D624440F4FDD478E97E52C0FCA9F1D24D624440F4FDD478E97E52C0355EBA490C624440BA490C022B7F52C0355EBA490C624440,"[2023-03-25 14:00:00+00,2023-03-25 15:00:00+00)","[2023-03-25 14:00:00+00,2023-03-25 15:00:00+00)",47,47,47
48,Light Sensor_48,A datastream that provides the measurements from aLight Sensor_48 sensor,"{""name"": ""degree Celsius"",""symbol"": ""degC"",""definition"": ""http://www.qudt.org/qudt/owl/1.0.0/unit/Instances.html#DegreeCelsius""}",http://www.opengis.net/def/observationType/OGC-OM/2.0/OM_Measurement,0103000020E61000000100000005000000BA490C022B7F52C0355EBA490C624440BA490C022B7F52C0FCA9F1D24D624440F4FDD478E97E52C0FCA9F1D24D624440F4FDD478E97E52C0355EBA490C624440BA490C022B7F52C0355EBA490C624440,"[2023-03-25 14:00:00+00,2023-03-25 15:00:00+00)","[2023-03-25 14:00:00+00,2023-03-25 15:00:00+00)",48,48,48
