id,name,defination,description
21,Motion Sensor_21,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Motion Sensor_21,Motion Sensor_21 present in a substance or an object
22,Temperature Sensor_22,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Temperature Sensor_22,Temperature Sensor_22 present in a substance or an object
23,Light Sensor_23,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Light Sensor_23,Light Sensor_23 present in a substance or an object
24,CO2 Sensor_24,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#CO2 Sensor_24,CO2 Sensor_24 present in a substance or an object
25,Light Sensor_25,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Light Sensor_25,Light Sensor_25 present in a substance or an object
26,Humidity Sensor_26,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Humidity Sensor_26,Humidity Sensor_26 present in a substance or an object
27,Temperature Sensor_27,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Temperature Sensor_27,Temperature Sensor_27 present in a substance or an object
28,CO2 Sensor_28,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#CO2 Sensor_28,CO2 Sensor_28 present in a substance or an object
29,Motion Sensor_29,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Motion Sensor_29,Motion Sensor_29 present in a substance or an object
30,Humidity Sensor_30,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Humidity Sensor_30,Humidity Sensor_30 present in a substance or an object
31,CO2 Sensor_31,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#CO2 Sensor_31,CO2 Sensor_31 present in a substance or an object
32,Temperature Sensor_32,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Temperature Sensor_32,Temperature Sensor_32 present in a substance or an object
33,Temperature Sensor_33,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Temperature Sensor_33,Temperature Sensor_33 present in a substance or an object
34,Light Sensor_34,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Light Sensor_34,Light Sensor_34 present in a substance or an object
35,Humidity Sensor_35,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Humidity Sensor_35,Humidity Sensor_35 present in a substance or an object
36,Humidity Sensor_36,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Humidity Sensor_36,Humidity Sensor_36 present in a substance or an object
37,CO2 Sensor_37,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#CO2 Sensor_37,CO2 Sensor_37 present in a substance or an object
38,Motion Sensor_38,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Motion Sensor_38,Motion Sensor_38 present in a substance or an object
39,CO2 Sensor_39,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#CO2 Sensor_39,CO2 Sensor_39 present in a substance or an object
40,Humidity Sensor_40,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Humidity Sensor_40,Humidity Sensor_40 present in a substance or an object
41,Pressure Sensor_41,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Pressure Sensor_41,Pressure Sensor_41 present in a substance or an object
42,Light Sensor_42,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Light Sensor_42,Light Sensor_42 present in a substance or an object
43,Motion Sensor_43,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Motion Sensor_43,Motion Sensor_43 present in a substance or an object
44,Pressure Sensor_44,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Pressure Sensor_44,Pressure Sensor_44 present in a substance or an object
45,CO2 Sensor_45,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#CO2 Sensor_45,CO2 Sensor_45 present in a substance or an object
46,Light Sensor_46,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Light Sensor_46,Light Sensor_46 present in a substance or an object
47,Motion Sensor_47,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Motion Sensor_47,Motion Sensor_47 present in a substance or an object
48,Motion Sensor_48,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Motion Sensor_48,Motion Sensor_48 present in a substance or an object
49,Light Sensor_49,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Light Sensor_49,Light Sensor_49 present in a substance or an object
50,Humidity Sensor_50,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Humidity Sensor_50,Humidity Sensor_50 present in a substance or an object
51,Motion Sensor_51,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Motion Sensor_51,Motion Sensor_51 present in a substance or an object
52,Humidity Sensor_52,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Humidity Sensor_52,Humidity Sensor_52 present in a substance or an object
53,Light Sensor_53,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Light Sensor_53,Light Sensor_53 present in a substance or an object
54,Humidity Sensor_54,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Humidity Sensor_54,Humidity Sensor_54 present in a substance or an object
55,Pressure Sensor_55,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Pressure Sensor_55,Pressure Sensor_55 present in a substance or an object
56,Temperature Sensor_56,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Temperature Sensor_56,Temperature Sensor_56 present in a substance or an object
57,CO2 Sensor_57,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#CO2 Sensor_57,CO2 Sensor_57 present in a substance or an object
58,Humidity Sensor_58,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Humidity Sensor_58,Humidity Sensor_58 present in a substance or an object
59,Humidity Sensor_59,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Humidity Sensor_59,Humidity Sensor_59 present in a substance or an object
60,CO2 Sensor_60,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#CO2 Sensor_60,CO2 Sensor_60 present in a substance or an object
61,Light Sensor_61,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Light Sensor_61,Light Sensor_61 present in a substance or an object
62,Motion Sensor_62,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Motion Sensor_62,Motion Sensor_62 present in a substance or an object
63,CO2 Sensor_63,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#CO2 Sensor_63,CO2 Sensor_63 present in a substance or an object
64,Pressure Sensor_64,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Pressure Sensor_64,Pressure Sensor_64 present in a substance or an object
65,Light Sensor_65,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Light Sensor_65,Light Sensor_65 present in a substance or an object
66,Temperature Sensor_66,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Temperature Sensor_66,Temperature Sensor_66 present in a substance or an object
67,Humidity Sensor_67,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Humidity Sensor_67,Humidity Sensor_67 present in a substance or an object
68,Light Sensor_68,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Light Sensor_68,Light Sensor_68 present in a substance or an object
69,Motion Sensor_69,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Motion Sensor_69,Motion Sensor_69 present in a substance or an object
70,Motion Sensor_70,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Motion Sensor_70,Motion Sensor_70 present in a substance or an object
71,Humidity Sensor_71,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Humidity Sensor_71,Humidity Sensor_71 present in a substance or an object
72,Pressure Sensor_72,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Pressure Sensor_72,Pressure Sensor_72 present in a substance or an object
73,Humidity Sensor_73,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Humidity Sensor_73,Humidity Sensor_73 present in a substance or an object
74,Light Sensor_74,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Light Sensor_74,Light Sensor_74 present in a substance or an object
75,Light Sensor_75,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Light Sensor_75,Light Sensor_75 present in a substance or an object
76,Temperature Sensor_76,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Temperature Sensor_76,Temperature Sensor_76 present in a substance or an object
77,Humidity Sensor_77,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Humidity Sensor_77,Humidity Sensor_77 present in a substance or an object
78,CO2 Sensor_78,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#CO2 Sensor_78,CO2 Sensor_78 present in a substance or an object
79,Temperature Sensor_79,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Temperature Sensor_79,Temperature Sensor_79 present in a substance or an object
80,CO2 Sensor_80,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#CO2 Sensor_80,CO2 Sensor_80 present in a substance or an object
81,Temperature Sensor_81,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Temperature Sensor_81,Temperature Sensor_81 present in a substance or an object
82,Light Sensor_82,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Light Sensor_82,Light Sensor_82 present in a substance or an object
83,Humidity Sensor_83,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Humidity Sensor_83,Humidity Sensor_83 present in a substance or an object
84,Humidity Sensor_84,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Humidity Sensor_84,Humidity Sensor_84 present in a substance or an object
85,Humidity Sensor_85,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Humidity Sensor_85,Humidity Sensor_85 present in a substance or an object
86,Light Sensor_86,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Light Sensor_86,Light Sensor_86 present in a substance or an object
87,Humidity Sensor_87,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Humidity Sensor_87,Humidity Sensor_87 present in a substance or an object
88,CO2 Sensor_88,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#CO2 Sensor_88,CO2 Sensor_88 present in a substance or an object
89,CO2 Sensor_89,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#CO2 Sensor_89,CO2 Sensor_89 present in a substance or an object
90,Humidity Sensor_90,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Humidity Sensor_90,Humidity Sensor_90 present in a substance or an object
91,Light Sensor_91,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Light Sensor_91,Light Sensor_91 present in a substance or an object
92,CO2 Sensor_92,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#CO2 Sensor_92,CO2 Sensor_92 present in a substance or an object
93,Motion Sensor_93,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Motion Sensor_93,Motion Sensor_93 present in a substance or an object
94,Light Sensor_94,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Light Sensor_94,Light Sensor_94 present in a substance or an object
95,Temperature Sensor_95,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Temperature Sensor_95,Temperature Sensor_95 present in a substance or an object
96,Pressure Sensor_96,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Pressure Sensor_96,Pressure Sensor_96 present in a substance or an object
97,Motion Sensor_97,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Motion Sensor_97,Motion Sensor_97 present in a substance or an object
98,Humidity Sensor_98,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Humidity Sensor_98,Humidity Sensor_98 present in a substance or an object
99,Motion Sensor_99,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Motion Sensor_99,Motion Sensor_99 present in a substance or an object
100,Light Sensor_100,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Light Sensor_100,Light Sensor_100 present in a substance or an object
101,Light Sensor_101,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Light Sensor_101,Light Sensor_101 present in a substance or an object
102,CO2 Sensor_102,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#CO2 Sensor_102,CO2 Sensor_102 present in a substance or an object
103,Pressure Sensor_103,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Pressure Sensor_103,Pressure Sensor_103 present in a substance or an object
104,CO2 Sensor_104,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#CO2 Sensor_104,CO2 Sensor_104 present in a substance or an object
105,CO2 Sensor_105,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#CO2 Sensor_105,CO2 Sensor_105 present in a substance or an object
106,Pressure Sensor_106,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Pressure Sensor_106,Pressure Sensor_106 present in a substance or an object
107,Motion Sensor_107,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Motion Sensor_107,Motion Sensor_107 present in a substance or an object
108,Motion Sensor_108,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Motion Sensor_108,Motion Sensor_108 present in a substance or an object
109,Temperature Sensor_109,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Temperature Sensor_109,Temperature Sensor_109 present in a substance or an object
110,Motion Sensor_110,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Motion Sensor_110,Motion Sensor_110 present in a substance or an object
111,CO2 Sensor_111,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#CO2 Sensor_111,CO2 Sensor_111 present in a substance or an object
112,Pressure Sensor_112,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Pressure Sensor_112,Pressure Sensor_112 present in a substance or an object
113,Light Sensor_113,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Light Sensor_113,Light Sensor_113 present in a substance or an object
114,Humidity Sensor_114,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Humidity Sensor_114,Humidity Sensor_114 present in a substance or an object
115,Motion Sensor_115,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Motion Sensor_115,Motion Sensor_115 present in a substance or an object
116,Pressure Sensor_116,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Pressure Sensor_116,Pressure Sensor_116 present in a substance or an object
117,Light Sensor_117,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Light Sensor_117,Light Sensor_117 present in a substance or an object
118,Pressure Sensor_118,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Pressure Sensor_118,Pressure Sensor_118 present in a substance or an object
119,Light Sensor_119,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Light Sensor_119,Light Sensor_119 present in a substance or an object
120,CO2 Sensor_120,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#CO2 Sensor_120,CO2 Sensor_120 present in a substance or an object
121,Temperature Sensor_121,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Temperature Sensor_121,Temperature Sensor_121 present in a substance or an object
122,CO2 Sensor_122,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#CO2 Sensor_122,CO2 Sensor_122 present in a substance or an object
123,Light Sensor_123,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Light Sensor_123,Light Sensor_123 present in a substance or an object
124,Humidity Sensor_124,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Humidity Sensor_124,Humidity Sensor_124 present in a substance or an object
125,Temperature Sensor_125,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Temperature Sensor_125,Temperature Sensor_125 present in a substance or an object
126,Temperature Sensor_126,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Temperature Sensor_126,Temperature Sensor_126 present in a substance or an object
127,Motion Sensor_127,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Motion Sensor_127,Motion Sensor_127 present in a substance or an object
128,Motion Sensor_128,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Motion Sensor_128,Motion Sensor_128 present in a substance or an object
129,Temperature Sensor_129,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Temperature Sensor_129,Temperature Sensor_129 present in a substance or an object
130,Light Sensor_130,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Light Sensor_130,Light Sensor_130 present in a substance or an object
131,Temperature Sensor_131,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Temperature Sensor_131,Temperature Sensor_131 present in a substance or an object
132,Motion Sensor_132,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Motion Sensor_132,Motion Sensor_132 present in a substance or an object
133,CO2 Sensor_133,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#CO2 Sensor_133,CO2 Sensor_133 present in a substance or an object
134,Motion Sensor_134,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Motion Sensor_134,Motion Sensor_134 present in a substance or an object
135,Motion Sensor_135,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Motion Sensor_135,Motion Sensor_135 present in a substance or an object
136,Humidity Sensor_136,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Humidity Sensor_136,Humidity Sensor_136 present in a substance or an object
137,Motion Sensor_137,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Motion Sensor_137,Motion Sensor_137 present in a substance or an object
138,Temperature Sensor_138,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Temperature Sensor_138,Temperature Sensor_138 present in a substance or an object
139,Pressure Sensor_139,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Pressure Sensor_139,Pressure Sensor_139 present in a substance or an object
140,Pressure Sensor_140,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Pressure Sensor_140,Pressure Sensor_140 present in a substance or an object
141,Humidity Sensor_141,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Humidity Sensor_141,Humidity Sensor_141 present in a substance or an object
142,Light Sensor_142,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Light Sensor_142,Light Sensor_142 present in a substance or an object
143,Light Sensor_143,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Light Sensor_143,Light Sensor_143 present in a substance or an object
144,Motion Sensor_144,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Motion Sensor_144,Motion Sensor_144 present in a substance or an object
145,Light Sensor_145,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Light Sensor_145,Light Sensor_145 present in a substance or an object
146,Temperature Sensor_146,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Temperature Sensor_146,Temperature Sensor_146 present in a substance or an object
147,Humidity Sensor_147,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Humidity Sensor_147,Humidity Sensor_147 present in a substance or an object
148,Temperature Sensor_148,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Temperature Sensor_148,Temperature Sensor_148 present in a substance or an object
149,Pressure Sensor_149,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Pressure Sensor_149,Pressure Sensor_149 present in a substance or an object
150,Motion Sensor_150,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Motion Sensor_150,Motion Sensor_150 present in a substance or an object
151,Motion Sensor_151,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Motion Sensor_151,Motion Sensor_151 present in a substance or an object
152,CO2 Sensor_152,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#CO2 Sensor_152,CO2 Sensor_152 present in a substance or an object
153,Humidity Sensor_153,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Humidity Sensor_153,Humidity Sensor_153 present in a substance or an object
154,Motion Sensor_154,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Motion Sensor_154,Motion Sensor_154 present in a substance or an object
155,Light Sensor_155,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Light Sensor_155,Light Sensor_155 present in a substance or an object
156,CO2 Sensor_156,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#CO2 Sensor_156,CO2 Sensor_156 present in a substance or an object
157,Light Sensor_157,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Light Sensor_157,Light Sensor_157 present in a substance or an object
158,Light Sensor_158,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Light Sensor_158,Light Sensor_158 present in a substance or an object
159,Temperature Sensor_159,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Temperature Sensor_159,Temperature Sensor_159 present in a substance or an object
160,Temperature Sensor_160,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Temperature Sensor_160,Temperature Sensor_160 present in a substance or an object
161,Light Sensor_161,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Light Sensor_161,Light Sensor_161 present in a substance or an object
162,Pressure Sensor_162,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Pressure Sensor_162,Pressure Sensor_162 present in a substance or an object
163,CO2 Sensor_163,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#CO2 Sensor_163,CO2 Sensor_163 present in a substance or an object
164,Humidity Sensor_164,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Humidity Sensor_164,Humidity Sensor_164 present in a substance or an object
165,CO2 Sensor_165,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#CO2 Sensor_165,CO2 Sensor_165 present in a substance or an object
166,Motion Sensor_166,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Motion Sensor_166,Motion Sensor_166 present in a substance or an object
167,CO2 Sensor_167,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#CO2 Sensor_167,CO2 Sensor_167 present in a substance or an object
168,CO2 Sensor_168,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#CO2 Sensor_168,CO2 Sensor_168 present in a substance or an object
169,CO2 Sensor_169,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#CO2 Sensor_169,CO2 Sensor_169 present in a substance or an object
170,Pressure Sensor_170,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Pressure Sensor_170,Pressure Sensor_170 present in a substance or an object
171,Light Sensor_171,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Light Sensor_171,Light Sensor_171 present in a substance or an object
172,Motion Sensor_172,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Motion Sensor_172,Motion Sensor_172 present in a substance or an object
173,Humidity Sensor_173,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Humidity Sensor_173,Humidity Sensor_173 present in a substance or an object
174,Light Sensor_174,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Light Sensor_174,Light Sensor_174 present in a substance or an object
175,Light Sensor_175,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Light Sensor_175,Light Sensor_175 present in a substance or an object
176,Light Sensor_176,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Light Sensor_176,Light Sensor_176 present in a substance or an object
177,Light Sensor_177,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Light Sensor_177,Light Sensor_177 present in a substance or an object
178,Light Sensor_178,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Light Sensor_178,Light Sensor_178 present in a substance or an object
179,CO2 Sensor_179,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#CO2 Sensor_179,CO2 Sensor_179 present in a substance or an object
180,CO2 Sensor_180,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#CO2 Sensor_180,CO2 Sensor_180 present in a substance or an object
181,Temperature Sensor_181,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Temperature Sensor_181,Temperature Sensor_181 present in a substance or an object
182,Light Sensor_182,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Light Sensor_182,Light Sensor_182 present in a substance or an object
183,Humidity Sensor_183,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Humidity Sensor_183,Humidity Sensor_183 present in a substance or an object
184,Temperature Sensor_184,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Temperature Sensor_184,Temperature Sensor_184 present in a substance or an object
185,CO2 Sensor_185,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#CO2 Sensor_185,CO2 Sensor_185 present in a substance or an object
