id,name,encodingType,metadata
28,Humidity Sensor_28,application/pdf,{'specification': 'https://example.com/Humidity Sensor_28-specs.pdf'}
29,Motion Sensor_29,application/pdf,{'specification': 'https://example.com/Motion Sensor_29-specs.pdf'}
30,CO2 Sensor_30,application/pdf,{'specification': 'https://example.com/CO2 Sensor_30-specs.pdf'}
31,Humidity Sensor_31,application/pdf,{'specification': 'https://example.com/Humidity Sensor_31-specs.pdf'}
32,CO2 Sensor_32,application/pdf,{'specification': 'https://example.com/CO2 Sensor_32-specs.pdf'}
33,Temperature Sensor_33,application/pdf,{'specification': 'https://example.com/Temperature Sensor_33-specs.pdf'}
34,CO2 Sensor_34,application/pdf,{'specification': 'https://example.com/CO2 Sensor_34-specs.pdf'}
35,Temperature Sensor_35,application/pdf,{'specification': 'https://example.com/Temperature Sensor_35-specs.pdf'}
36,CO2 Sensor_36,application/pdf,{'specification': 'https://example.com/CO2 Sensor_36-specs.pdf'}
37,Temperature Sensor_37,application/pdf,{'specification': 'https://example.com/Temperature Sensor_37-specs.pdf'}
38,Motion Sensor_38,application/pdf,{'specification': 'https://example.com/Motion Sensor_38-specs.pdf'}
39,CO2 Sensor_39,application/pdf,{'specification': 'https://example.com/CO2 Sensor_39-specs.pdf'}
40,Temperature Sensor_40,application/pdf,{'specification': 'https://example.com/Temperature Sensor_40-specs.pdf'}
41,Humidity Sensor_41,application/pdf,{'specification': 'https://example.com/Humidity Sensor_41-specs.pdf'}
42,Temperature Sensor_42,application/pdf,{'specification': 'https://example.com/Temperature Sensor_42-specs.pdf'}
43,CO2 Sensor_43,application/pdf,{'specification': 'https://example.com/CO2 Sensor_43-specs.pdf'}
44,Pressure Sensor_44,application/pdf,{'specification': 'https://example.com/Pressure Sensor_44-specs.pdf'}
45,Pressure Sensor_45,application/pdf,{'specification': 'https://example.com/Pressure Sensor_45-specs.pdf'}
46,Motion Sensor_46,application/pdf,{'specification': 'https://example.com/Motion Sensor_46-specs.pdf'}
47,Light Sensor_47,application/pdf,{'specification': 'https://example.com/Light Sensor_47-specs.pdf'}
48,CO2 Sensor_48,application/pdf,{'specification': 'https://example.com/CO2 Sensor_48-specs.pdf'}
49,Pressure Sensor_49,application/pdf,{'specification': 'https://example.com/Pressure Sensor_49-specs.pdf'}
50,Pressure Sensor_50,application/pdf,{'specification': 'https://example.com/Pressure Sensor_50-specs.pdf'}
51,Pressure Sensor_51,application/pdf,{'specification': 'https://example.com/Pressure Sensor_51-specs.pdf'}
52,Temperature Sensor_52,application/pdf,{'specification': 'https://example.com/Temperature Sensor_52-specs.pdf'}
53,Light Sensor_53,application/pdf,{'specification': 'https://example.com/Light Sensor_53-specs.pdf'}
54,Light Sensor_54,application/pdf,{'specification': 'https://example.com/Light Sensor_54-specs.pdf'}
55,Humidity Sensor_55,application/pdf,{'specification': 'https://example.com/Humidity Sensor_55-specs.pdf'}
56,Light Sensor_56,application/pdf,{'specification': 'https://example.com/Light Sensor_56-specs.pdf'}
57,Pressure Sensor_57,application/pdf,{'specification': 'https://example.com/Pressure Sensor_57-specs.pdf'}
58,Light Sensor_58,application/pdf,{'specification': 'https://example.com/Light Sensor_58-specs.pdf'}
59,Pressure Sensor_59,application/pdf,{'specification': 'https://example.com/Pressure Sensor_59-specs.pdf'}
60,CO2 Sensor_60,application/pdf,{'specification': 'https://example.com/CO2 Sensor_60-specs.pdf'}
61,Light Sensor_61,application/pdf,{'specification': 'https://example.com/Light Sensor_61-specs.pdf'}
62,Light Sensor_62,application/pdf,{'specification': 'https://example.com/Light Sensor_62-specs.pdf'}
63,Temperature Sensor_63,application/pdf,{'specification': 'https://example.com/Temperature Sensor_63-specs.pdf'}
64,Motion Sensor_64,application/pdf,{'specification': 'https://example.com/Motion Sensor_64-specs.pdf'}
65,Light Sensor_65,application/pdf,{'specification': 'https://example.com/Light Sensor_65-specs.pdf'}
66,Motion Sensor_66,application/pdf,{'specification': 'https://example.com/Motion Sensor_66-specs.pdf'}
67,Humidity Sensor_67,application/pdf,{'specification': 'https://example.com/Humidity Sensor_67-specs.pdf'}
68,Light Sensor_68,application/pdf,{'specification': 'https://example.com/Light Sensor_68-specs.pdf'}
69,CO2 Sensor_69,application/pdf,{'specification': 'https://example.com/CO2 Sensor_69-specs.pdf'}
70,Humidity Sensor_70,application/pdf,{'specification': 'https://example.com/Humidity Sensor_70-specs.pdf'}
71,Pressure Sensor_71,application/pdf,{'specification': 'https://example.com/Pressure Sensor_71-specs.pdf'}
72,Pressure Sensor_72,application/pdf,{'specification': 'https://example.com/Pressure Sensor_72-specs.pdf'}
73,Light Sensor_73,application/pdf,{'specification': 'https://example.com/Light Sensor_73-specs.pdf'}
74,CO2 Sensor_74,application/pdf,{'specification': 'https://example.com/CO2 Sensor_74-specs.pdf'}
75,CO2 Sensor_75,application/pdf,{'specification': 'https://example.com/CO2 Sensor_75-specs.pdf'}
76,Motion Sensor_76,application/pdf,{'specification': 'https://example.com/Motion Sensor_76-specs.pdf'}
77,Motion Sensor_77,application/pdf,{'specification': 'https://example.com/Motion Sensor_77-specs.pdf'}
78,Light Sensor_78,application/pdf,{'specification': 'https://example.com/Light Sensor_78-specs.pdf'}
79,Temperature Sensor_79,application/pdf,{'specification': 'https://example.com/Temperature Sensor_79-specs.pdf'}
80,Light Sensor_80,application/pdf,{'specification': 'https://example.com/Light Sensor_80-specs.pdf'}
81,Pressure Sensor_81,application/pdf,{'specification': 'https://example.com/Pressure Sensor_81-specs.pdf'}
82,CO2 Sensor_82,application/pdf,{'specification': 'https://example.com/CO2 Sensor_82-specs.pdf'}
83,Light Sensor_83,application/pdf,{'specification': 'https://example.com/Light Sensor_83-specs.pdf'}
84,Light Sensor_84,application/pdf,{'specification': 'https://example.com/Light Sensor_84-specs.pdf'}
85,Humidity Sensor_85,application/pdf,{'specification': 'https://example.com/Humidity Sensor_85-specs.pdf'}
86,Motion Sensor_86,application/pdf,{'specification': 'https://example.com/Motion Sensor_86-specs.pdf'}
87,Humidity Sensor_87,application/pdf,{'specification': 'https://example.com/Humidity Sensor_87-specs.pdf'}
88,Humidity Sensor_88,application/pdf,{'specification': 'https://example.com/Humidity Sensor_88-specs.pdf'}
89,Humidity Sensor_89,application/pdf,{'specification': 'https://example.com/Humidity Sensor_89-specs.pdf'}
90,Pressure Sensor_90,application/pdf,{'specification': 'https://example.com/Pressure Sensor_90-specs.pdf'}
91,Humidity Sensor_91,application/pdf,{'specification': 'https://example.com/Humidity Sensor_91-specs.pdf'}
92,Light Sensor_92,application/pdf,{'specification': 'https://example.com/Light Sensor_92-specs.pdf'}
93,Temperature Sensor_93,application/pdf,{'specification': 'https://example.com/Temperature Sensor_93-specs.pdf'}
94,Motion Sensor_94,application/pdf,{'specification': 'https://example.com/Motion Sensor_94-specs.pdf'}
95,Light Sensor_95,application/pdf,{'specification': 'https://example.com/Light Sensor_95-specs.pdf'}
96,Pressure Sensor_96,application/pdf,{'specification': 'https://example.com/Pressure Sensor_96-specs.pdf'}
97,Light Sensor_97,application/pdf,{'specification': 'https://example.com/Light Sensor_97-specs.pdf'}
98,Temperature Sensor_98,application/pdf,{'specification': 'https://example.com/Temperature Sensor_98-specs.pdf'}
99,Humidity Sensor_99,application/pdf,{'specification': 'https://example.com/Humidity Sensor_99-specs.pdf'}
100,Pressure Sensor_100,application/pdf,{'specification': 'https://example.com/Pressure Sensor_100-specs.pdf'}
101,CO2 Sensor_101,application/pdf,{'specification': 'https://example.com/CO2 Sensor_101-specs.pdf'}
102,Light Sensor_102,application/pdf,{'specification': 'https://example.com/Light Sensor_102-specs.pdf'}
103,Pressure Sensor_103,application/pdf,{'specification': 'https://example.com/Pressure Sensor_103-specs.pdf'}
104,CO2 Sensor_104,application/pdf,{'specification': 'https://example.com/CO2 Sensor_104-specs.pdf'}
105,Motion Sensor_105,application/pdf,{'specification': 'https://example.com/Motion Sensor_105-specs.pdf'}
106,Motion Sensor_106,application/pdf,{'specification': 'https://example.com/Motion Sensor_106-specs.pdf'}
107,Motion Sensor_107,application/pdf,{'specification': 'https://example.com/Motion Sensor_107-specs.pdf'}
108,Temperature Sensor_108,application/pdf,{'specification': 'https://example.com/Temperature Sensor_108-specs.pdf'}
109,Motion Sensor_109,application/pdf,{'specification': 'https://example.com/Motion Sensor_109-specs.pdf'}
110,Humidity Sensor_110,application/pdf,{'specification': 'https://example.com/Humidity Sensor_110-specs.pdf'}
111,Temperature Sensor_111,application/pdf,{'specification': 'https://example.com/Temperature Sensor_111-specs.pdf'}
112,CO2 Sensor_112,application/pdf,{'specification': 'https://example.com/CO2 Sensor_112-specs.pdf'}
113,Temperature Sensor_113,application/pdf,{'specification': 'https://example.com/Temperature Sensor_113-specs.pdf'}
114,Temperature Sensor_114,application/pdf,{'specification': 'https://example.com/Temperature Sensor_114-specs.pdf'}
115,Humidity Sensor_115,application/pdf,{'specification': 'https://example.com/Humidity Sensor_115-specs.pdf'}
116,Motion Sensor_116,application/pdf,{'specification': 'https://example.com/Motion Sensor_116-specs.pdf'}
117,CO2 Sensor_117,application/pdf,{'specification': 'https://example.com/CO2 Sensor_117-specs.pdf'}
118,CO2 Sensor_118,application/pdf,{'specification': 'https://example.com/CO2 Sensor_118-specs.pdf'}
119,Pressure Sensor_119,application/pdf,{'specification': 'https://example.com/Pressure Sensor_119-specs.pdf'}
120,Humidity Sensor_120,application/pdf,{'specification': 'https://example.com/Humidity Sensor_120-specs.pdf'}
121,Motion Sensor_121,application/pdf,{'specification': 'https://example.com/Motion Sensor_121-specs.pdf'}
122,Pressure Sensor_122,application/pdf,{'specification': 'https://example.com/Pressure Sensor_122-specs.pdf'}
123,Humidity Sensor_123,application/pdf,{'specification': 'https://example.com/Humidity Sensor_123-specs.pdf'}
124,Temperature Sensor_124,application/pdf,{'specification': 'https://example.com/Temperature Sensor_124-specs.pdf'}
125,Light Sensor_125,application/pdf,{'specification': 'https://example.com/Light Sensor_125-specs.pdf'}
126,Motion Sensor_126,application/pdf,{'specification': 'https://example.com/Motion Sensor_126-specs.pdf'}
127,Temperature Sensor_127,application/pdf,{'specification': 'https://example.com/Temperature Sensor_127-specs.pdf'}
128,CO2 Sensor_128,application/pdf,{'specification': 'https://example.com/CO2 Sensor_128-specs.pdf'}
129,CO2 Sensor_129,application/pdf,{'specification': 'https://example.com/CO2 Sensor_129-specs.pdf'}
130,Motion Sensor_130,application/pdf,{'specification': 'https://example.com/Motion Sensor_130-specs.pdf'}
131,Light Sensor_131,application/pdf,{'specification': 'https://example.com/Light Sensor_131-specs.pdf'}
132,Temperature Sensor_132,application/pdf,{'specification': 'https://example.com/Temperature Sensor_132-specs.pdf'}
133,Light Sensor_133,application/pdf,{'specification': 'https://example.com/Light Sensor_133-specs.pdf'}
134,Temperature Sensor_134,application/pdf,{'specification': 'https://example.com/Temperature Sensor_134-specs.pdf'}
135,CO2 Sensor_135,application/pdf,{'specification': 'https://example.com/CO2 Sensor_135-specs.pdf'}
136,Pressure Sensor_136,application/pdf,{'specification': 'https://example.com/Pressure Sensor_136-specs.pdf'}
137,Humidity Sensor_137,application/pdf,{'specification': 'https://example.com/Humidity Sensor_137-specs.pdf'}
138,Humidity Sensor_138,application/pdf,{'specification': 'https://example.com/Humidity Sensor_138-specs.pdf'}
139,Pressure Sensor_139,application/pdf,{'specification': 'https://example.com/Pressure Sensor_139-specs.pdf'}
140,Temperature Sensor_140,application/pdf,{'specification': 'https://example.com/Temperature Sensor_140-specs.pdf'}
141,CO2 Sensor_141,application/pdf,{'specification': 'https://example.com/CO2 Sensor_141-specs.pdf'}
142,Temperature Sensor_142,application/pdf,{'specification': 'https://example.com/Temperature Sensor_142-specs.pdf'}
143,Motion Sensor_143,application/pdf,{'specification': 'https://example.com/Motion Sensor_143-specs.pdf'}
144,Motion Sensor_144,application/pdf,{'specification': 'https://example.com/Motion Sensor_144-specs.pdf'}
145,CO2 Sensor_145,application/pdf,{'specification': 'https://example.com/CO2 Sensor_145-specs.pdf'}
146,Pressure Sensor_146,application/pdf,{'specification': 'https://example.com/Pressure Sensor_146-specs.pdf'}
147,Temperature Sensor_147,application/pdf,{'specification': 'https://example.com/Temperature Sensor_147-specs.pdf'}
148,Motion Sensor_148,application/pdf,{'specification': 'https://example.com/Motion Sensor_148-specs.pdf'}
149,Humidity Sensor_149,application/pdf,{'specification': 'https://example.com/Humidity Sensor_149-specs.pdf'}
150,CO2 Sensor_150,application/pdf,{'specification': 'https://example.com/CO2 Sensor_150-specs.pdf'}
151,Humidity Sensor_151,application/pdf,{'specification': 'https://example.com/Humidity Sensor_151-specs.pdf'}
152,Motion Sensor_152,application/pdf,{'specification': 'https://example.com/Motion Sensor_152-specs.pdf'}
153,CO2 Sensor_153,application/pdf,{'specification': 'https://example.com/CO2 Sensor_153-specs.pdf'}
154,Humidity Sensor_154,application/pdf,{'specification': 'https://example.com/Humidity Sensor_154-specs.pdf'}
155,Pressure Sensor_155,application/pdf,{'specification': 'https://example.com/Pressure Sensor_155-specs.pdf'}
156,Light Sensor_156,application/pdf,{'specification': 'https://example.com/Light Sensor_156-specs.pdf'}
157,Motion Sensor_157,application/pdf,{'specification': 'https://example.com/Motion Sensor_157-specs.pdf'}
158,CO2 Sensor_158,application/pdf,{'specification': 'https://example.com/CO2 Sensor_158-specs.pdf'}
159,Humidity Sensor_159,application/pdf,{'specification': 'https://example.com/Humidity Sensor_159-specs.pdf'}
160,Pressure Sensor_160,application/pdf,{'specification': 'https://example.com/Pressure Sensor_160-specs.pdf'}
161,Pressure Sensor_161,application/pdf,{'specification': 'https://example.com/Pressure Sensor_161-specs.pdf'}
162,CO2 Sensor_162,application/pdf,{'specification': 'https://example.com/CO2 Sensor_162-specs.pdf'}
163,Temperature Sensor_163,application/pdf,{'specification': 'https://example.com/Temperature Sensor_163-specs.pdf'}
164,Humidity Sensor_164,application/pdf,{'specification': 'https://example.com/Humidity Sensor_164-specs.pdf'}
165,Light Sensor_165,application/pdf,{'specification': 'https://example.com/Light Sensor_165-specs.pdf'}
166,Light Sensor_166,application/pdf,{'specification': 'https://example.com/Light Sensor_166-specs.pdf'}
167,Humidity Sensor_167,application/pdf,{'specification': 'https://example.com/Humidity Sensor_167-specs.pdf'}
168,Pressure Sensor_168,application/pdf,{'specification': 'https://example.com/Pressure Sensor_168-specs.pdf'}
169,Temperature Sensor_169,application/pdf,{'specification': 'https://example.com/Temperature Sensor_169-specs.pdf'}
170,Motion Sensor_170,application/pdf,{'specification': 'https://example.com/Motion Sensor_170-specs.pdf'}
171,Humidity Sensor_171,application/pdf,{'specification': 'https://example.com/Humidity Sensor_171-specs.pdf'}
172,Humidity Sensor_172,application/pdf,{'specification': 'https://example.com/Humidity Sensor_172-specs.pdf'}
173,Light Sensor_173,application/pdf,{'specification': 'https://example.com/Light Sensor_173-specs.pdf'}
174,Pressure Sensor_174,application/pdf,{'specification': 'https://example.com/Pressure Sensor_174-specs.pdf'}
175,Pressure Sensor_175,application/pdf,{'specification': 'https://example.com/Pressure Sensor_175-specs.pdf'}
176,Pressure Sensor_176,application/pdf,{'specification': 'https://example.com/Pressure Sensor_176-specs.pdf'}
177,Motion Sensor_177,application/pdf,{'specification': 'https://example.com/Motion Sensor_177-specs.pdf'}
178,Humidity Sensor_178,application/pdf,{'specification': 'https://example.com/Humidity Sensor_178-specs.pdf'}
179,Humidity Sensor_179,application/pdf,{'specification': 'https://example.com/Humidity Sensor_179-specs.pdf'}
180,Motion Sensor_180,application/pdf,{'specification': 'https://example.com/Motion Sensor_180-specs.pdf'}
181,Motion Sensor_181,application/pdf,{'specification': 'https://example.com/Motion Sensor_181-specs.pdf'}
182,Humidity Sensor_182,application/pdf,{'specification': 'https://example.com/Humidity Sensor_182-specs.pdf'}
183,Temperature Sensor_183,application/pdf,{'specification': 'https://example.com/Temperature Sensor_183-specs.pdf'}
184,Pressure Sensor_184,application/pdf,{'specification': 'https://example.com/Pressure Sensor_184-specs.pdf'}
185,Humidity Sensor_185,application/pdf,{'specification': 'https://example.com/Humidity Sensor_185-specs.pdf'}
186,Light Sensor_186,application/pdf,{'specification': 'https://example.com/Light Sensor_186-specs.pdf'}
187,Humidity Sensor_187,application/pdf,{'specification': 'https://example.com/Humidity Sensor_187-specs.pdf'}
188,Humidity Sensor_188,application/pdf,{'specification': 'https://example.com/Humidity Sensor_188-specs.pdf'}
189,Motion Sensor_189,application/pdf,{'specification': 'https://example.com/Motion Sensor_189-specs.pdf'}
190,Humidity Sensor_190,application/pdf,{'specification': 'https://example.com/Humidity Sensor_190-specs.pdf'}
191,Motion Sensor_191,application/pdf,{'specification': 'https://example.com/Motion Sensor_191-specs.pdf'}
192,Humidity Sensor_192,application/pdf,{'specification': 'https://example.com/Humidity Sensor_192-specs.pdf'}
193,Pressure Sensor_193,application/pdf,{'specification': 'https://example.com/Pressure Sensor_193-specs.pdf'}
194,Motion Sensor_194,application/pdf,{'specification': 'https://example.com/Motion Sensor_194-specs.pdf'}
195,Temperature Sensor_195,application/pdf,{'specification': 'https://example.com/Temperature Sensor_195-specs.pdf'}
196,Light Sensor_196,application/pdf,{'specification': 'https://example.com/Light Sensor_196-specs.pdf'}
197,Temperature Sensor_197,application/pdf,{'specification': 'https://example.com/Temperature Sensor_197-specs.pdf'}
198,Pressure Sensor_198,application/pdf,{'specification': 'https://example.com/Pressure Sensor_198-specs.pdf'}
199,Humidity Sensor_199,application/pdf,{'specification': 'https://example.com/Humidity Sensor_199-specs.pdf'}
200,CO2 Sensor_200,application/pdf,{'specification': 'https://example.com/CO2 Sensor_200-specs.pdf'}
