id,name,description,encodingType,location,properties
30,Room No 30,A sensor that measures the Room No 30 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
31,Room No 31,A sensor that measures the Room No 31 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
32,Room No 32,A sensor that measures the Room No 32 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
33,Room No 33,A sensor that measures the Room No 33 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
34,Room No 34,A sensor that measures the Room No 34 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
35,Room No 35,A sensor that measures the Room No 35 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
36,Room No 36,A sensor that measures the Room No 36 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
37,Room No 37,A sensor that measures the Room No 37 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
38,Room No 38,A sensor that measures the Room No 38 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
39,Room No 39,A sensor that measures the Room No 39 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
40,Room No 40,A sensor that measures the Room No 40 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
41,Room No 41,A sensor that measures the Room No 41 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
42,Room No 42,A sensor that measures the Room No 42 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
43,Room No 43,A sensor that measures the Room No 43 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
44,Room No 44,A sensor that measures the Room No 44 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
45,Room No 45,A sensor that measures the Room No 45 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
46,Room No 46,A sensor that measures the Room No 46 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
47,Room No 47,A sensor that measures the Room No 47 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
48,Room No 48,A sensor that measures the Room No 48 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
49,Room No 49,A sensor that measures the Room No 49 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
50,Room No 50,A sensor that measures the Room No 50 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
51,Room No 51,A sensor that measures the Room No 51 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
52,Room No 52,A sensor that measures the Room No 52 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
53,Room No 53,A sensor that measures the Room No 53 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
54,Room No 54,A sensor that measures the Room No 54 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
55,Room No 55,A sensor that measures the Room No 55 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
56,Room No 56,A sensor that measures the Room No 56 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
57,Room No 57,A sensor that measures the Room No 57 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
58,Room No 58,A sensor that measures the Room No 58 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
59,Room No 59,A sensor that measures the Room No 59 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
60,Room No 60,A sensor that measures the Room No 60 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
61,Room No 61,A sensor that measures the Room No 61 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
62,Room No 62,A sensor that measures the Room No 62 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
63,Room No 63,A sensor that measures the Room No 63 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
64,Room No 64,A sensor that measures the Room No 64 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
65,Room No 65,A sensor that measures the Room No 65 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
66,Room No 66,A sensor that measures the Room No 66 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
67,Room No 67,A sensor that measures the Room No 67 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
68,Room No 68,A sensor that measures the Room No 68 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
69,Room No 69,A sensor that measures the Room No 69 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
70,Room No 70,A sensor that measures the Room No 70 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
71,Room No 71,A sensor that measures the Room No 71 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
72,Room No 72,A sensor that measures the Room No 72 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
73,Room No 73,A sensor that measures the Room No 73 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
74,Room No 74,A sensor that measures the Room No 74 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
75,Room No 75,A sensor that measures the Room No 75 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
76,Room No 76,A sensor that measures the Room No 76 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
77,Room No 77,A sensor that measures the Room No 77 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
78,Room No 78,A sensor that measures the Room No 78 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
79,Room No 79,A sensor that measures the Room No 79 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
80,Room No 80,A sensor that measures the Room No 80 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
81,Room No 81,A sensor that measures the Room No 81 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
82,Room No 82,A sensor that measures the Room No 82 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
83,Room No 83,A sensor that measures the Room No 83 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
84,Room No 84,A sensor that measures the Room No 84 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
85,Room No 85,A sensor that measures the Room No 85 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
86,Room No 86,A sensor that measures the Room No 86 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
87,Room No 87,A sensor that measures the Room No 87 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
88,Room No 88,A sensor that measures the Room No 88 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
89,Room No 89,A sensor that measures the Room No 89 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
90,Room No 90,A sensor that measures the Room No 90 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
91,Room No 91,A sensor that measures the Room No 91 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
92,Room No 92,A sensor that measures the Room No 92 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
93,Room No 93,A sensor that measures the Room No 93 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
94,Room No 94,A sensor that measures the Room No 94 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
95,Room No 95,A sensor that measures the Room No 95 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
96,Room No 96,A sensor that measures the Room No 96 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
97,Room No 97,A sensor that measures the Room No 97 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
98,Room No 98,A sensor that measures the Room No 98 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
99,Room No 99,A sensor that measures the Room No 99 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
100,Room No 100,A sensor that measures the Room No 100 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
101,Room No 101,A sensor that measures the Room No 101 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
102,Room No 102,A sensor that measures the Room No 102 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
103,Room No 103,A sensor that measures the Room No 103 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
104,Room No 104,A sensor that measures the Room No 104 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
105,Room No 105,A sensor that measures the Room No 105 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
106,Room No 106,A sensor that measures the Room No 106 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
107,Room No 107,A sensor that measures the Room No 107 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
108,Room No 108,A sensor that measures the Room No 108 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
109,Room No 109,A sensor that measures the Room No 109 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
110,Room No 110,A sensor that measures the Room No 110 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
111,Room No 111,A sensor that measures the Room No 111 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
112,Room No 112,A sensor that measures the Room No 112 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
113,Room No 113,A sensor that measures the Room No 113 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
114,Room No 114,A sensor that measures the Room No 114 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
115,Room No 115,A sensor that measures the Room No 115 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
116,Room No 116,A sensor that measures the Room No 116 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
117,Room No 117,A sensor that measures the Room No 117 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
118,Room No 118,A sensor that measures the Room No 118 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
119,Room No 119,A sensor that measures the Room No 119 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
120,Room No 120,A sensor that measures the Room No 120 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
121,Room No 121,A sensor that measures the Room No 121 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
122,Room No 122,A sensor that measures the Room No 122 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
123,Room No 123,A sensor that measures the Room No 123 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
124,Room No 124,A sensor that measures the Room No 124 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
125,Room No 125,A sensor that measures the Room No 125 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
126,Room No 126,A sensor that measures the Room No 126 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
127,Room No 127,A sensor that measures the Room No 127 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
128,Room No 128,A sensor that measures the Room No 128 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
129,Room No 129,A sensor that measures the Room No 129 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
130,Room No 130,A sensor that measures the Room No 130 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
131,Room No 131,A sensor that measures the Room No 131 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
132,Room No 132,A sensor that measures the Room No 132 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
133,Room No 133,A sensor that measures the Room No 133 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
134,Room No 134,A sensor that measures the Room No 134 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
135,Room No 135,A sensor that measures the Room No 135 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
136,Room No 136,A sensor that measures the Room No 136 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
137,Room No 137,A sensor that measures the Room No 137 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
138,Room No 138,A sensor that measures the Room No 138 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
139,Room No 139,A sensor that measures the Room No 139 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
140,Room No 140,A sensor that measures the Room No 140 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
141,Room No 141,A sensor that measures the Room No 141 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
142,Room No 142,A sensor that measures the Room No 142 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
143,Room No 143,A sensor that measures the Room No 143 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
144,Room No 144,A sensor that measures the Room No 144 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
145,Room No 145,A sensor that measures the Room No 145 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
146,Room No 146,A sensor that measures the Room No 146 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
147,Room No 147,A sensor that measures the Room No 147 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
148,Room No 148,A sensor that measures the Room No 148 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
149,Room No 149,A sensor that measures the Room No 149 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
150,Room No 150,A sensor that measures the Room No 150 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
151,Room No 151,A sensor that measures the Room No 151 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
152,Room No 152,A sensor that measures the Room No 152 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
153,Room No 153,A sensor that measures the Room No 153 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
154,Room No 154,A sensor that measures the Room No 154 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
155,Room No 155,A sensor that measures the Room No 155 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
156,Room No 156,A sensor that measures the Room No 156 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
157,Room No 157,A sensor that measures the Room No 157 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
158,Room No 158,A sensor that measures the Room No 158 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
159,Room No 159,A sensor that measures the Room No 159 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
160,Room No 160,A sensor that measures the Room No 160 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
161,Room No 161,A sensor that measures the Room No 161 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
162,Room No 162,A sensor that measures the Room No 162 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
163,Room No 163,A sensor that measures the Room No 163 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
164,Room No 164,A sensor that measures the Room No 164 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
165,Room No 165,A sensor that measures the Room No 165 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
166,Room No 166,A sensor that measures the Room No 166 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
167,Room No 167,A sensor that measures the Room No 167 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
168,Room No 168,A sensor that measures the Room No 168 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
169,Room No 169,A sensor that measures the Room No 169 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
170,Room No 170,A sensor that measures the Room No 170 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
171,Room No 171,A sensor that measures the Room No 171 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
172,Room No 172,A sensor that measures the Room No 172 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
173,Room No 173,A sensor that measures the Room No 173 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
174,Room No 174,A sensor that measures the Room No 174 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
175,Room No 175,A sensor that measures the Room No 175 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
176,Room No 176,A sensor that measures the Room No 176 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
177,Room No 177,A sensor that measures the Room No 177 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
178,Room No 178,A sensor that measures the Room No 178 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
179,Room No 179,A sensor that measures the Room No 179 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
180,Room No 180,A sensor that measures the Room No 180 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
181,Room No 181,A sensor that measures the Room No 181 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
182,Room No 182,A sensor that measures the Room No 182 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
183,Room No 183,A sensor that measures the Room No 183 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
184,Room No 184,A sensor that measures the Room No 184 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
185,Room No 185,A sensor that measures the Room No 185 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
186,Room No 186,A sensor that measures the Room No 186 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
187,Room No 187,A sensor that measures the Room No 187 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
188,Room No 188,A sensor that measures the Room No 188 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
189,Room No 189,A sensor that measures the Room No 189 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
190,Room No 190,A sensor that measures the Room No 190 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
191,Room No 191,A sensor that measures the Room No 191 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
192,Room No 192,A sensor that measures the Room No 192 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
193,Room No 193,A sensor that measures the Room No 193 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
194,Room No 194,A sensor that measures the Room No 194 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
195,Room No 195,A sensor that measures the Room No 195 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
196,Room No 196,A sensor that measures the Room No 196 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
197,Room No 197,A sensor that measures the Room No 197 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
198,Room No 198,A sensor that measures the Room No 198 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
199,Room No 199,A sensor that measures the Room No 199 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
200,Room No 200,A sensor that measures the Room No 200 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
201,Room No 201,A sensor that measures the Room No 201 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
202,Room No 202,A sensor that measures the Room No 202 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
203,Room No 203,A sensor that measures the Room No 203 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
204,Room No 204,A sensor that measures the Room No 204 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
205,Room No 205,A sensor that measures the Room No 205 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
206,Room No 206,A sensor that measures the Room No 206 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
