id,name,description,encodingType,feature,properties
44,Room No_44,Feature of interest_44,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
45,Room No_45,Feature of interest_45,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
46,Room No_46,Feature of interest_46,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
47,Room No_47,Feature of interest_47,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
48,Room No_48,Feature of interest_48,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
49,Room No_49,Feature of interest_49,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
50,Room No_50,Feature of interest_50,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
51,Room No_51,Feature of interest_51,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
52,Room No_52,Feature of interest_52,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
53,Room No_53,Feature of interest_53,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
54,Room No_54,Feature of interest_54,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
55,Room No_55,Feature of interest_55,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
56,Room No_56,Feature of interest_56,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
57,Room No_57,Feature of interest_57,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
58,Room No_58,Feature of interest_58,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
59,Room No_59,Feature of interest_59,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
60,Room No_60,Feature of interest_60,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
61,Room No_61,Feature of interest_61,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
62,Room No_62,Feature of interest_62,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
63,Room No_63,Feature of interest_63,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
64,Room No_64,Feature of interest_64,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
65,Room No_65,Feature of interest_65,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
66,Room No_66,Feature of interest_66,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
67,Room No_67,Feature of interest_67,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
68,Room No_68,Feature of interest_68,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
69,Room No_69,Feature of interest_69,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
70,Room No_70,Feature of interest_70,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
71,Room No_71,Feature of interest_71,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
72,Room No_72,Feature of interest_72,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
73,Room No_73,Feature of interest_73,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
74,Room No_74,Feature of interest_74,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
75,Room No_75,Feature of interest_75,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
76,Room No_76,Feature of interest_76,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
77,Room No_77,Feature of interest_77,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
78,Room No_78,Feature of interest_78,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
79,Room No_79,Feature of interest_79,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
80,Room No_80,Feature of interest_80,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
81,Room No_81,Feature of interest_81,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
82,Room No_82,Feature of interest_82,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
83,Room No_83,Feature of interest_83,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
84,Room No_84,Feature of interest_84,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
85,Room No_85,Feature of interest_85,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
86,Room No_86,Feature of interest_86,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
87,Room No_87,Feature of interest_87,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
88,Room No_88,Feature of interest_88,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
89,Room No_89,Feature of interest_89,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
90,Room No_90,Feature of interest_90,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
91,Room No_91,Feature of interest_91,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
92,Room No_92,Feature of interest_92,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
93,Room No_93,Feature of interest_93,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
94,Room No_94,Feature of interest_94,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
95,Room No_95,Feature of interest_95,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
96,Room No_96,Feature of interest_96,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
97,Room No_97,Feature of interest_97,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
98,Room No_98,Feature of interest_98,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
99,Room No_99,Feature of interest_99,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
100,Room No_100,Feature of interest_100,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
101,Room No_101,Feature of interest_101,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
102,Room No_102,Feature of interest_102,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
103,Room No_103,Feature of interest_103,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
104,Room No_104,Feature of interest_104,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
105,Room No_105,Feature of interest_105,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
106,Room No_106,Feature of interest_106,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
107,Room No_107,Feature of interest_107,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
108,Room No_108,Feature of interest_108,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
109,Room No_109,Feature of interest_109,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
110,Room No_110,Feature of interest_110,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
111,Room No_111,Feature of interest_111,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
112,Room No_112,Feature of interest_112,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
113,Room No_113,Feature of interest_113,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
114,Room No_114,Feature of interest_114,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
115,Room No_115,Feature of interest_115,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
116,Room No_116,Feature of interest_116,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
117,Room No_117,Feature of interest_117,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
118,Room No_118,Feature of interest_118,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
119,Room No_119,Feature of interest_119,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
120,Room No_120,Feature of interest_120,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
121,Room No_121,Feature of interest_121,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
122,Room No_122,Feature of interest_122,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
123,Room No_123,Feature of interest_123,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
124,Room No_124,Feature of interest_124,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
125,Room No_125,Feature of interest_125,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
126,Room No_126,Feature of interest_126,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
127,Room No_127,Feature of interest_127,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
128,Room No_128,Feature of interest_128,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
129,Room No_129,Feature of interest_129,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
130,Room No_130,Feature of interest_130,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
131,Room No_131,Feature of interest_131,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
132,Room No_132,Feature of interest_132,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
133,Room No_133,Feature of interest_133,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
134,Room No_134,Feature of interest_134,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
135,Room No_135,Feature of interest_135,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
136,Room No_136,Feature of interest_136,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
137,Room No_137,Feature of interest_137,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
138,Room No_138,Feature of interest_138,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
139,Room No_139,Feature of interest_139,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
140,Room No_140,Feature of interest_140,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
141,Room No_141,Feature of interest_141,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
142,Room No_142,Feature of interest_142,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
143,Room No_143,Feature of interest_143,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
144,Room No_144,Feature of interest_144,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
145,Room No_145,Feature of interest_145,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
146,Room No_146,Feature of interest_146,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
147,Room No_147,Feature of interest_147,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
148,Room No_148,Feature of interest_148,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
149,Room No_149,Feature of interest_149,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
150,Room No_150,Feature of interest_150,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
151,Room No_151,Feature of interest_151,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
152,Room No_152,Feature of interest_152,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
153,Room No_153,Feature of interest_153,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
154,Room No_154,Feature of interest_154,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
155,Room No_155,Feature of interest_155,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
156,Room No_156,Feature of interest_156,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
157,Room No_157,Feature of interest_157,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
158,Room No_158,Feature of interest_158,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
159,Room No_159,Feature of interest_159,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
160,Room No_160,Feature of interest_160,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
161,Room No_161,Feature of interest_161,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
162,Room No_162,Feature of interest_162,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
163,Room No_163,Feature of interest_163,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
164,Room No_164,Feature of interest_164,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
165,Room No_165,Feature of interest_165,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
166,Room No_166,Feature of interest_166,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
167,Room No_167,Feature of interest_167,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
168,Room No_168,Feature of interest_168,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
169,Room No_169,Feature of interest_169,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
170,Room No_170,Feature of interest_170,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
171,Room No_171,Feature of interest_171,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
172,Room No_172,Feature of interest_172,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
173,Room No_173,Feature of interest_173,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
174,Room No_174,Feature of interest_174,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
175,Room No_175,Feature of interest_175,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
176,Room No_176,Feature of interest_176,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
177,Room No_177,Feature of interest_177,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
178,Room No_178,Feature of interest_178,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
179,Room No_179,Feature of interest_179,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
180,Room No_180,Feature of interest_180,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
181,Room No_181,Feature of interest_181,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
182,Room No_182,Feature of interest_182,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
183,Room No_183,Feature of interest_183,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
184,Room No_184,Feature of interest_184,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
185,Room No_185,Feature of interest_185,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
186,Room No_186,Feature of interest_186,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
187,Room No_187,Feature of interest_187,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
188,Room No_188,Feature of interest_188,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
189,Room No_189,Feature of interest_189,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
190,Room No_190,Feature of interest_190,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
191,Room No_191,Feature of interest_191,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
192,Room No_192,Feature of interest_192,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
193,Room No_193,Feature of interest_193,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
194,Room No_194,Feature of interest_194,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
195,Room No_195,Feature of interest_195,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
196,Room No_196,Feature of interest_196,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
197,Room No_197,Feature of interest_197,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
198,Room No_198,Feature of interest_198,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
199,Room No_199,Feature of interest_199,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
200,Room No_200,Feature of interest_200,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
201,Room No_201,Feature of interest_201,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
202,Room No_202,Feature of interest_202,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
203,Room No_203,Feature of interest_203,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
204,Room No_204,Feature of interest_204,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
205,Room No_205,Feature of interest_205,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
206,Room No_206,Feature of interest_206,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
207,Room No_207,Feature of interest_207,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
208,Room No_208,Feature of interest_208,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
209,Room No_209,Feature of interest_209,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
210,Room No_210,Feature of interest_210,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
211,Room No_211,Feature of interest_211,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
212,Room No_212,Feature of interest_212,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
213,Room No_213,Feature of interest_213,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
214,Room No_214,Feature of interest_214,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
215,Room No_215,Feature of interest_215,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
216,Room No_216,Feature of interest_216,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
217,Room No_217,Feature of interest_217,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
218,Room No_218,Feature of interest_218,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
219,Room No_219,Feature of interest_219,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
220,Room No_220,Feature of interest_220,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
221,Room No_221,Feature of interest_221,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
222,Room No_222,Feature of interest_222,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
223,Room No_223,Feature of interest_223,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
224,Room No_224,Feature of interest_224,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
225,Room No_225,Feature of interest_225,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
226,Room No_226,Feature of interest_226,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
227,Room No_227,Feature of interest_227,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
228,Room No_228,Feature of interest_228,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
229,Room No_229,Feature of interest_229,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
230,Room No_230,Feature of interest_230,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
231,Room No_231,Feature of interest_231,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
232,Room No_232,Feature of interest_232,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
233,Room No_233,Feature of interest_233,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
234,Room No_234,Feature of interest_234,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
235,Room No_235,Feature of interest_235,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
236,Room No_236,Feature of interest_236,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
237,Room No_237,Feature of interest_237,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
